order_id,order_time,store,customer_id,courier_id,courier_type,weather,basket_size,basket_value_toman,distance_km,prep_minutes,actual_route_km,rating,tip_toman,delivery_minutes
507714,2025-09-03 13:00:00,Punak,U00788,C0200,motorcycle,rain,4,422000,5.03,6.2,5.03,2.0,23000,30.6
504567,2025-09-03 13:29:00,Saadatabad,U02010,C0049,motorcycle,clear,7,1175000,3.11,8.3,3.75,3.0,0,21.3
506119,2025-09-03 13:42:00,Saadatabad,U01570,C0199,motorcycle,,6,1472000,1.97,8.9,2.16,5.0,0,18.1
507316,2025-09-03 13:46:00,Vakilabad,U02428,C0039,motorcycle,rain,3,200000,3.26,5.2,5.01,2.0,0,32.9
510493,2025-09-03 13:50:00,Saadatabad,U01266,C0097,motorcycle,clear,5,379000,2.9,6.6,3.9,4.0,0,20.9
506339,2025-09-03 13:50:00,Punak,U02998,C0111,motorcycle,clear,3,504000,1.93,4.6,2.8,4.0,0,23.4
502379,2025-09-03 14:01:00,Punak,U01287,C0088,motorcycle,clear,2,184000,0.46,4.3,0.46,5.0,62000,7.1
507391,2025-09-03 14:12:00,Gohardasht,U02107,C0085,motorcycle,rain,4,612000,2.32,6.0,4.65,2.0,0,32.3
503414,2025-09-03 14:50:00,Vakilabad,U00966,C0011,motorcycle,clear,4,349000,3.43,5.5,4.91,4.0,0,28.0
509652,2025-09-03 16:46:00,Punak,U00736,C0171,motorcycle,clear,4,348000,5.13,6.6,6.36,3.0,0,39.1
503616,2025-09-03 17:37:00,Punak,U01471,C0130,motorcycle,,4,179000,3.7,8.1,4.6,3.0,0,30.1
509289,2025-09-03 17:43:00,Saadatabad,U00118,C0039,motorcycle,clear,5,552000,1.0,6.6,1.22,5.0,34000,10.5
509327,2025-09-03 18:13:00,Saadatabad,U00248,C0108,motorcycle,clear,5,927000,2.6,7.1,2.99,4.0,0,24.8
507180,2025-09-03 18:17:00,Vakilabad,U01798,C0041,motorcycle,clear,6,818000,1.11,8.1,1.26,4.0,36000,18.8
510953,2025-09-03 18:21:00,Saadatabad,U02132,C0008,bicycle,clear,3,744000,3.87,4.6,5.21,3.0,26000,28.9
509414,2025-09-03 18:51:00,Vakilabad,U00826,C0170,motorcycle,clear,7,470000,3.17,9.5,3.94,3.0,0,27.5
510488,2025-09-03 18:56:00,Vakilabad,U01584,C0058,motorcycle,clear,4,643000,2.77,5.6,3.05,4.0,27000,14.5
511387,2025-09-03 19:05:00,Vakilabad,U00896,C0145,motorcycle,clear,3,550000,2.23,7.1,2.32,4.0,0,18.1
501761,2025-09-03 19:09:00,Punak,U01692,C0056,bicycle,clear,6,578000,2.09,9.7,2.38,4.0,0,21.1
504564,2025-09-03 19:18:00,Saadatabad,U02394,C0147,bicycle,clear,2,411000,3.38,5.1,4.24,3.0,0,24.1
508264,2025-09-03 19:29:00,Saadatabad,U00322,C0016,motorcycle,rain,4,434000,3.6,5.5,3.6,4.0,34000,22.3
502959,2025-09-03 19:31:00,Gohardasht,U00161,C0039,motorcycle,clear,8,1640000,0.85,9.6,1.26,4.0,0,17.1
510984,2025-09-03 19:33:00,Saadatabad,U01793,C0009,bicycle,clear,5,476000,3.15,,5.29,3.0,0,30.1
504973,2025-09-03 19:45:00,Vakilabad,U00994,C0111,motorcycle,rain,1,124000,3.13,4.2,4.45,3.0,0,34.1
504828,2025-09-03 19:49:00,Saadatabad,U02756,C0061,motorcycle,clear,4,522000,4.22,6.3,6.16,3.0,0,26.6
509254,2025-09-03 19:53:00,Punak,U02771,C0016,motorcycle,clear,5,552000,3.5,7.0,5.15,3.0,0,28.9
509542,2025-09-03 20:07:00,Gohardasht,U02569,C0176,bicycle,rain,4,721000,3.0,7.6,5.57,2.0,0,36.9
501933,2025-09-03 20:09:00,Vakilabad,U00106,C0098,motorcycle,rain,3,206000,4.05,8.2,4.05,4.0,0,31.4
500045,2025-09-03 20:11:00,Saadatabad,U01228,C0172,motorcycle,clear,4,323000,0.87,7.4,1.13,4.0,0,16.7
509514,2025-09-03 20:32:00,Vakilabad,U01195,C0167,bicycle,,3,310000,2.64,4.6,3.37,4.0,0,20.8
503314,2025-09-03 20:36:00,Saadatabad,U02968,C0039,motorcycle,clear,5,567000,0.3,8.9,0.3,5.0,22000,10.2
504276,2025-09-03 20:43:00,Saadatabad,U01637,C0147,bicycle,clear,4,895000,0.76,6.7,1.33,4.0,0,14.1
505463,2025-09-03 20:52:00,Saadatabad,U00939,C0007,motorcycle,,4,347000,2.17,8.0,2.17,4.0,0,12.3
501143,2025-09-03 21:03:00,Punak,U01440,C0051,motorcycle,clear,3,309000,2.9,6.0,3.41,4.0,0,27.9
508712,2025-09-03 21:16:00,Gohardasht,U02780,C0172,motorcycle,clear,4,335000,3.12,5.5,6.14,3.0,0,38.9
511390,2025-09-03 21:49:00,Punak,U00456,C0158,bicycle,clear,8,1146000,0.81,9.4,0.81,4.0,0,22.5
508440,2025-09-03 21:59:00,Punak,U00477,C0166,motorcycle,clear,1,79000,3.62,3.0,4.44,4.0,0,30.5
507797,2025-09-03 22:24:00,Vakilabad,U01000,C0039,motorcycle,rain,3,290000,2.19,5.2,3.31,3.0,0,22.6
510109,2025-09-03 23:04:00,Saadatabad,U02067,C0051,motorcycle,clear,6,519000,2.29,7.2,2.65,3.0,0,19.7
510769,2025-09-04 10:57:00,Punak,U00622,C0013,bicycle,clear,2,121000,3.23,5.3,3.23,4.0,0,22.4
510458,2025-09-04 11:09:00,Saadatabad,U02954,C0051,motorcycle,clear,2,517000,2.98,3.8,3.92,4.0,0,19.1
507318,2025-09-04 11:31:00,Vakilabad,U01871,C0178,motorcycle,clear,2,374000,2.92,3.7,4.23,3.0,33000,27.3
509016,2025-09-04 11:40:00,Punak,U02327,C0017,motorcycle,clear,7,846000,4.68,8.5,4.68,4.0,80000,28.6
510212,2025-09-04 11:42:00,Punak,U01702,C0179,bicycle,rain,2,439000,2.79,5.1,6.38,3.0,0,34.2
510796,2025-09-04 11:48:00,Saadatabad,U01975,C0192,motorcycle,clear,3,393000,2.63,5.6,2.82,4.0,0,19.8
510894,2025-09-04 12:01:00,Punak,U02020,C0193,motorcycle,clear,3,268000,1.52,6.0,2.0,4.0,0,13.3
505772,2025-09-04 12:04:00,Punak,U00825,C0039,motorcycle,snow,3,643000,1.68,4.7,2.72,1.0,0,45.5
507546,2025-09-04 12:17:00,Vakilabad,U00702,C0097,motorcycle,clear,4,996000,2.67,6.0,3.54,3.0,0,21.6
504259,2025-09-04 12:25:00,Gohardasht,U02898,C0135,motorcycle,rain,5,755000,2.43,6.9,4.5,3.0,0,37.7
501969,2025-09-04 12:35:00,Punak,U00505,C0036,motorcycle,rain,3,161000,0.35,5.2,0.38,4.0,0,16.3
500290,2025-09-04 12:39:00,Gohardasht,U02257,C0127,motorcycle,clear,5,757000,2.02,8.6,2.02,4.0,12000,21.2
509424,2025-09-04 12:50:00,Saadatabad,U02971,C0127,motorcycle,clear,4,404000,2.9,10.3,3.29,4.0,0,24.4
501541,2025-09-04 12:58:00,Gohardasht,U02017,C0165,bicycle,,3,426000,0.51,5.4,1.12,4.0,0,20.5
509272,2025-09-04 13:01:00,Vakilabad,U02367,C0178,motorcycle,clear,3,338000,1.94,4.7,2.13,3.0,0,22.1
508765,2025-09-04 13:02:00,Vakilabad,U00492,C0088,motorcycle,rain,3,290000,2.38,5.4,2.38,5.0,0,18.5
506366,2025-09-04 13:18:00,Vakilabad,U01477,C0199,motorcycle,clear,7,1337000,3.67,8.0,5.26,3.0,0,31.0
504001,2025-09-04 13:31:00,Punak,U01957,C0098,motorcycle,,4,686000,3.98,5.5,5.04,3.0,0,30.6
510233,2025-09-04 13:35:00,Punak,U02715,C0112,bicycle,clear,4,745000,1.94,,2.6,4.0,43000,26.9
506538,2025-09-04 13:45:00,Gohardasht,U02787,C0001,bicycle,clear,5,233000,2.99,,3.35,3.0,0,34.4
509708,2025-09-04 13:47:00,Saadatabad,U01641,C0171,motorcycle,rain,3,714000,1.68,5.0,1.68,4.0,0,20.7
510640,2025-09-04 14:00:00,Vakilabad,U01083,C0001,bicycle,rain,3,181000,4.41,5.0,4.99,2.0,17000,40.7
502985,2025-09-04 14:28:00,Saadatabad,U01622,C0050,motorcycle,clear,3,524000,1.95,5.6,2.12,4.0,0,19.5
505251,2025-09-04 14:32:00,Punak,U02173,C0037,bicycle,,3,182000,4.45,5.1,4.45,3.0,0,17.4
510054,2025-09-04 16:41:00,Gohardasht,U01593,C0166,motorcycle,,3,552000,0.67,5.7,0.71,4.0,0,22.7
509876,2025-09-04 18:03:00,Punak,U01911,C0037,bicycle,clear,4,790000,2.8,6.0,3.64,5.0,0,17.8
500351,2025-09-04 18:13:00,Punak,U02232,C0154,motorcycle,clear,4,335000,2.31,5.7,2.31,5.0,57000,13.7
507494,2025-09-04 18:24:00,Saadatabad,U00405,C0127,motorcycle,clear,8,632000,3.7,10.2,6.23,3.0,12000,34.9
510151,2025-09-04 18:47:00,Saadatabad,U00651,C0030,motorcycle,clear,5,465000,3.51,7.7,6.29,3.0,47000,35.6
508681,2025-09-04 18:50:00,Gohardasht,U00087,C0023,bicycle,rain,6,758000,3.83,7.3,5.42,3.0,0,42.1
510717,2025-09-04 18:51:00,Gohardasht,U02177,C0130,motorcycle,clear,7,940000,4.24,9.7,4.47,3.0,0,34.8
501733,2025-09-04 18:52:00,Vakilabad,U02578,C0171,motorcycle,clear,3,600000,1.76,5.0,2.13,4.0,0,21.4
505622,2025-09-04 19:03:00,Punak,U00977,C0151,motorcycle,clear,6,1107000,0.3,8.4,0.35,4.0,0,17.5
511332,2025-09-04 19:23:00,Gohardasht,U01805,C0183,bicycle,clear,10,1748000,4.32,10.9,4.32,3.0,0,32.9
511444,2025-09-04 19:31:00,Saadatabad,U00729,C0034,bicycle,clear,7,1003000,2.46,12.0,4.36,4.0,0,32.5
509464,2025-09-04 19:33:00,Saadatabad,U02660,C0050,motorcycle,clear,3,269000,2.92,6.7,4.77,3.0,0,29.4
504138,2025-09-04 19:34:00,Saadatabad,U01575,C0199,motorcycle,clear,4,419000,2.7,6.5,5.55,1.0,0,50.8
504735,2025-09-04 19:36:00,Vakilabad,U02607,C0079,motorcycle,clear,5,394000,2.03,7.4,2.84,5.0,0,23.4
510974,2025-09-04 19:46:00,Punak,U00813,C0016,motorcycle,rain,3,408000,3.28,6.6,3.28,3.0,0,24.9
510648,2025-09-04 19:47:00,Gohardasht,U02084,C0172,motorcycle,clear,4,268000,2.01,7.6,4.69,2.0,0,33.4
503165,2025-09-04 20:15:00,Vakilabad,U01923,C0175,motorcycle,clear,7,1031000,4.67,8.8,7.42,2.0,0,46.3
504033,2025-09-04 20:23:00,Vakilabad,U01759,C0078,motorcycle,rain,5,574000,2.58,7.0,2.58,3.0,49000,29.6
509045,2025-09-04 20:42:00,Vakilabad,U00086,C0185,motorcycle,clear,3,425000,2.21,5.9,3.83,3.0,0,27.6
504351,2025-09-04 20:42:00,Saadatabad,U02545,C0142,motorcycle,clear,2,516000,1.98,4.2,2.54,4.0,0,20.1
509195,2025-09-04 21:06:00,Punak,U00464,C0178,motorcycle,clear,1,61000,3.02,3.7,7.68,3.0,40000,38.6
511945,2025-09-04 21:15:00,Punak,U01273,C0044,motorcycle,clear,4,320000,2.6,6.0,2.7,4.0,0,20.0
500097,2025-09-04 21:34:00,Punak,U00138,C0200,motorcycle,clear,3,440000,1.96,6.8,3.36,3.0,0,24.6
506210,2025-09-04 21:50:00,Saadatabad,U00096,C0086,motorcycle,clear,3,643000,2.7,7.3,2.99,4.0,0,17.4
511574,2025-09-04 22:02:00,Saadatabad,U01067,C0085,motorcycle,clear,5,390000,1.92,6.9,2.23,4.0,0,18.5
510264,2025-09-05 12:05:00,Punak,U01927,C0166,motorcycle,rain,5,636000,0.99,6.4,1.55,3.0,0,21.7
505885,2025-09-05 12:21:00,Saadatabad,U02241,C0103,bicycle,clear,5,511000,3.03,6.8,4.27,3.0,17000,26.1
500452,2025-09-05 12:26:00,Gohardasht,U02162,C0199,motorcycle,clear,6,518000,1.76,8.3,2.34,3.0,0,25.8
502260,2025-09-05 13:04:00,Saadatabad,U01309,C0173,motorcycle,clear,4,462000,4.06,7.1,4.67,3.0,0,26.6
500057,2025-09-05 13:08:00,Saadatabad,U00668,C0097,motorcycle,clear,3,789000,3.42,4.8,4.17,3.0,20000,20.9
502042,2025-09-05 13:23:00,Gohardasht,U00932,C0074,motorcycle,clear,5,379000,2.36,7.4,4.61,3.0,0,27.4
503066,2025-09-05 13:40:00,Vakilabad,U01981,C0028,bicycle,clear,5,533000,0.41,7.2,0.58,5.0,0,14.5
505527,2025-09-05 13:48:00,Gohardasht,U01557,C0106,motorcycle,clear,3,461000,4.21,5.2,9.1,2.0,0,44.3
511886,2025-09-05 13:53:00,Saadatabad,U00036,C0028,bicycle,clear,3,340000,0.8,,1.3,4.0,26000,13.6
507231,2025-09-05 13:55:00,Vakilabad,U01342,C0120,motorcycle,clear,4,416000,0.78,6.7,1.18,5.0,0,10.1
500972,2025-09-05 14:03:00,Punak,U00390,C0051,motorcycle,clear,5,509000,0.9,7.0,1.12,4.0,0,18.0
501340,2025-09-05 14:29:00,Punak,U00222,C0011,motorcycle,clear,5,579000,3.94,7.8,5.06,4.0,26000,27.5
509662,2025-09-05 14:44:00,Punak,U02630,C0173,motorcycle,clear,6,784000,0.77,9.5,0.98,5.0,0,16.1
508263,2025-09-05 14:53:00,Saadatabad,U02943,C0102,motorcycle,clear,3,310000,2.93,6.9,2.93,4.0,0,19.4
501307,2025-09-05 16:47:00,Punak,U02093,C0193,motorcycle,clear,3,252000,1.12,4.6,1.43,5.0,0,13.3
507910,2025-09-05 18:05:00,Gohardasht,U00361,C0110,bicycle,clear,7,873000,2.7,,4.14,2.0,0,40.7
503134,2025-09-05 18:32:00,Saadatabad,U00807,C0178,motorcycle,clear,2,329000,2.73,4.5,2.73,4.0,0,21.7
500939,2025-09-05 18:59:00,Saadatabad,U02807,C0094,motorcycle,clear,6,899000,2.29,8.5,2.29,3.0,0,20.0
511720,2025-09-05 19:15:00,Vakilabad,U02703,C0159,motorcycle,rain,5,963000,2.11,8.6,3.89,4.0,0,28.5
508882,2025-09-05 19:18:00,Saadatabad,U01991,C0162,motorcycle,clear,2,307000,0.93,3.8,1.78,5.0,0,13.5
507246,2025-09-05 19:35:00,Punak,U00518,C0173,motorcycle,clear,5,437000,2.59,6.3,3.5,4.0,28000,28.7
507593,2025-09-05 19:46:00,Vakilabad,U02928,C0074,motorcycle,clear,5,635000,1.52,6.8,1.53,5.0,0,14.3
503894,2025-09-05 19:49:00,Punak,U00996,C0024,motorcycle,clear,4,848000,0.3,5.9,0.5,4.0,60000,12.5
