order_id,order_time,store,courier_type,basket_size,basket_value_toman,picking_minutes,delivery_minutes,rating
100037,2025-08-06 12:33:00,Saadatabad,bicycle,3,269000,5.7,14.1,5.0
100003,2025-08-06 12:34:00,Saadatabad,motorcycle,3,338000,5.4,11.0,5.0
100209,2025-08-06 13:44:00,Vakilabad,motorcycle,4,333000,10.5,16.2,4.0
100240,2025-08-06 17:19:00,Vakilabad,motorcycle,4,333000,6.9,16.6,
100186,2025-08-06 17:59:00,Punak,bicycle,3,381000,5.7,20.6,4.0
100025,2025-08-06 18:45:00,Saadatabad,motorcycle,2,118000,5.5,14.3,5.0
100089,2025-08-06 19:49:00,Punak,Bicycle ,6,843000,7.6,23.3,3.0
100042,2025-08-06 20:36:00,Saadatabad,motorcycle,3,740000,6.3,14.0,
100105,2025-08-06 21:35:00,Saadatabad,motorcycle,5,847000,7.1,13.3,
100176,2025-08-07 12:44:00,Punak,Motorcycle ,8,927000,10.3,48.9,2.0
100211,2025-08-07 13:15:00,Vakilabad,Motorcycle ,4,390000,6.2,14.8,
100187,2025-08-07 13:25:00,Saadatabad,motorcycle,7,506000,10.1,9.6,
100002,2025-08-07 18:32:00,Vakilabad,Motorcycle ,4,588000,7.3,14.7,5.0
100106,2025-08-07 19:33:00,Saadatabad,motorcycle,9,1515000,10.8,17.5,
100204,2025-08-07 19:59:00,Vakilabad,bicycle,2,157000,3.9,18.7,
100234,2025-08-07 20:45:00,Vakilabad,motorcycle,3,300000,5.0,16.6,4.0
100041,2025-08-08 13:17:00,Punak,motorcycle,1,81000,4.4,12.1,
100011,2025-08-08 13:33:00,Saadatabad,bicycle,7,512000,8.9,15.8,5.0
100216,2025-08-08 14:21:00,Vakilabad,motorcycle,2,152000,4.6,11.9,
100040,2025-08-08 17:49:00,Punak,bicycle,4,464000,6.1,20.6,3.0
100169,2025-08-08 18:31:00,Saadatabad,motorcycle,8,1240000,11.1,13.0,
100169,2025-08-08 18:31:00,Saadatabad,motorcycle,8,1240000,11.1,13.0,
100124,2025-08-08 20:25:00,Saadatabad,bicycle,4,621000,6.2,14.1,5.0
100154,2025-08-08 20:30:00,Vakilabad,motorcycle,6,584000,10.1,15.7,4.0
100069,2025-08-08 20:50:00,Vakilabad,bicycle,5,1457000,11.6,18.2,4.0
100170,2025-08-08 20:58:00,Gohardasht,motorcycle,5,667000,12.1,21.9,3.0
100084,2025-08-08 21:19:00,Gohardasht,motorcycle,2,176000,5.9,18.7,3.0
100138,2025-08-09 12:07:00,Vakilabad,motorcycle,2,264000,4.0,11.3,4.0
100109,2025-08-09 12:44:00,Gohardasht,bicycle,6,446000,7.7,19.2,5.0
100191,2025-08-09 15:12:00,Punak,bicycle,4,646000,6.0,14.7,
100043,2025-08-09 15:36:00,Saadatabad,motorcycle,2,215000,5.8,7.8,
100192,2025-08-09 16:10:00,Saadatabad,Motorcycle ,3,668000,7.7,11.0,4.0
100131,2025-08-09 19:16:00,Saadatabad,motorcycle,7,2314000,10.5,12.1,
100158,2025-08-09 19:45:00,Saadatabad,bicycle,4,532000,5.9,14.8,4.0
100107,2025-08-09 20:51:00,Saadatabad,motorcycle,9,1447000,11.0,16.2,3.0
100172,2025-08-10 12:01:00,Saadatabad,motorcycle,3,346000,7.7,12.7,4.0
100061,2025-08-10 13:19:00,Vakilabad,bicycle,7,1622000,10.9,17.2,
100039,2025-08-10 13:36:00,Saadatabad,motorcycle,5,904000,6.8,35.7,
100103,2025-08-10 13:50:00,Gohardasht,motorcycle,5,852000,8.3,20.0,4.0
100146,2025-08-10 13:53:00,Vakilabad,bicycle,3,937000,4.9,15.5,5.0
100051,2025-08-10 13:53:00,Vakilabad,motorcycle,5,786000,10.1,13.4,
100130,2025-08-10 14:05:00,Punak,bicycle,7,687000,13.5,15.3,4.0
100048,2025-08-10 14:11:00,Gohardasht,motorcycle,4,281000,6.6,20.7,5.0
100150,2025-08-10 17:52:00,Punak,motorcycle,4,419000,8.1,14.2,
100230,2025-08-10 19:15:00,Punak,bicycle,3,291000,5.3,22.0,3.0
100230,2025-08-10 19:15:00,Punak,bicycle,3,291000,5.3,22.0,3.0
100090,2025-08-10 19:39:00,Punak,bicycle,3,470000,5.2,16.4,3.0
100090,2025-08-10 19:39:00,Punak,bicycle,3,470000,5.2,16.4,3.0
100173,2025-08-10 19:55:00,Saadatabad,motorcycle,8,1312000,13.1,17.5,
100031,2025-08-10 20:05:00,Vakilabad,motorcycle,5,391000,8.6,16.4,3.0
100239,2025-08-10 20:07:00,Punak,motorcycle,2,130000,6.5,16.5,4.0
100007,2025-08-10 20:17:00,Gohardasht,motorcycle,2,235000,4.1,23.6,4.0
100210,2025-08-10 21:14:00,Saadatabad,Motorcycle ,6,944000,10.3,11.6,4.0
100175,2025-08-11 13:29:00,Punak,motorcycle,5,1319000,9.7,16.2,3.0
100182,2025-08-11 18:26:00,Punak,motorcycle,4,718000,5.7,53.1,1.0
100083,2025-08-11 18:39:00,Saadatabad,bicycle,1,163000,3.4,18.3,4.0
100149,2025-08-11 19:13:00,Vakilabad,motorcycle,2,169000,5.0,13.9,5.0
100126,2025-08-11 19:20:00,Saadatabad,motorcycle,12,1113000,15.7,14.0,4.0
100134,2025-08-11 19:38:00,Vakilabad,bicycle,5,766000,8.4,21.5,4.0
100009,2025-08-11 21:54:00,Vakilabad,motorcycle,7,1640000,8.3,15.6,4.0
100139,2025-08-12 11:23:00,Saadatabad,motorcycle,5,596000,12.5,11.2,5.0
100145,2025-08-12 12:48:00,Punak,motorcycle,6,1370000,9.9,12.1,5.0
100178,2025-08-12 13:00:00,Saadatabad,motorcycle,6,451000,10.4,9.6,
100203,2025-08-12 13:30:00,Saadatabad,motorcycle,5,196000,12.1,12.7,
100117,2025-08-12 13:40:00,Gohardasht,motorcycle,4,416000,9.1,27.2,3.0
100218,2025-08-12 14:07:00,Saadatabad,motorcycle,6,568000,9.4,30.8,2.0
100112,2025-08-12 17:54:00,Gohardasht,motorcycle,4,693000,6.9,16.9,4.0
100082,2025-08-12 18:16:00,Gohardasht,motorcycle,6,264000,11.2,18.8,3.0
100231,2025-08-12 18:47:00,Vakilabad,bicycle,7,1438000,8.6,24.4,3.0
100035,2025-08-12 18:48:00,Saadatabad,motorcycle,8,943000,10.8,14.0,
100200,2025-08-12 19:46:00,Gohardasht,motorcycle,5,410000,7.4,20.3,3.0
100180,2025-08-12 19:53:00,Vakilabad,motorcycle,3,282000,4.8,18.4,3.0
100180,2025-08-12 19:53:00,Vakilabad,motorcycle,3,282000,4.8,18.4,3.0
100129,2025-08-12 19:59:00,Gohardasht,bicycle,3,432000,5.1,38.3,1.0
100046,2025-08-12 20:24:00,Gohardasht,bicycle,4,830000,6.6,21.9,4.0
100034,2025-08-12 21:47:00,Saadatabad,motorcycle,5,784000,8.6,14.1,4.0
100071,2025-08-13 12:54:00,Punak,motorcycle,4,918000,6.0,13.2,4.0
100008,2025-08-13 13:43:00,Saadatabad,Bicycle ,6,1020000,10.3,13.6,
100093,2025-08-13 17:28:00,Saadatabad,motorcycle,3,367000,4.8,10.5,5.0
100022,2025-08-13 18:44:00,Vakilabad,motorcycle,3,339000,7.1,16.8,
100168,2025-08-13 19:17:00,Vakilabad,bicycle,4,353000,6.1,21.9,4.0
100163,2025-08-13 19:23:00,Punak,motorcycle,6,939000,10.7,18.2,4.0
100075,2025-08-13 19:55:00,Saadatabad,motorcycle,6,1929000,8.1,12.9,4.0
100086,2025-08-13 20:27:00,Vakilabad,motorcycle,3,377000,4.9,17.8,
100197,2025-08-13 20:54:00,Gohardasht,motorcycle,6,612000,7.5,17.8,4.0
100096,2025-08-13 20:56:00,Saadatabad,Motorcycle ,7,762000,8.5,13.2,
100104,2025-08-14 11:05:00,Saadatabad,motorcycle,4,634000,8.5,8.4,5.0
100147,2025-08-14 13:51:00,Saadatabad,motorcycle,9,1058000,13.4,10.4,
100128,2025-08-14 13:53:00,Vakilabad,bicycle,1,252000,3.6,16.4,4.0
100110,2025-08-14 13:56:00,Vakilabad,motorcycle,4,533000,6.1,13.7,
100045,2025-08-14 16:42:00,Vakilabad,motorcycle,4,625000,5.6,14.7,4.0
100143,2025-08-14 19:11:00,Saadatabad,motorcycle,2,603000,6.1,12.5,
100151,2025-08-14 21:16:00,Gohardasht,motorcycle,7,1279000,8.3,19.0,4.0
100119,2025-08-14 21:26:00,Gohardasht,bicycle,3,382000,8.2,19.7,4.0
100148,2025-08-14 23:18:00,Saadatabad,bicycle,5,479000,7.0,18.6,4.0
100208,2025-08-15 12:00:00,Vakilabad,motorcycle,5,474000,7.3,13.5,5.0
100081,2025-08-15 12:14:00,Saadatabad,motorcycle,3,223000,6.2,25.2,4.0
100221,2025-08-15 12:34:00,Punak,motorcycle,3,679000,8.8,14.1,3.0
100055,2025-08-15 12:38:00,Vakilabad,motorcycle,4,479000,6.9,12.5,
100136,2025-08-15 14:58:00,Saadatabad,Motorcycle ,4,359000,5.8,10.8,5.0
100183,2025-08-15 18:54:00,Punak,motorcycle,10,749000,11.8,21.0,
100121,2025-08-15 19:01:00,Saadatabad,bicycle,4,355000,6.0,16.0,
100099,2025-08-15 19:50:00,Punak,bicycle,5,799000,6.7,18.5,5.0
100226,2025-08-15 19:52:00,Vakilabad,bicycle,2,189000,6.6,19.6,3.0
100165,2025-08-15 19:54:00,Punak,motorcycle,5,452000,7.8,20.2,5.0
100092,2025-08-15 20:40:00,Vakilabad,motorcycle,5,513000,6.5,21.4,3.0
100133,2025-08-15 21:05:00,Punak,bicycle,4,358000,5.9,20.3,
100032,2025-08-16 10:35:00,Gohardasht,bicycle,3,499000,7.9,18.8,3.0
100195,2025-08-16 11:48:00,Saadatabad,motorcycle,3,289000,5.2,13.5,
100079,2025-08-16 12:15:00,Saadatabad,Motorcycle ,6,455000,8.4,9.1,
100185,2025-08-16 13:09:00,Vakilabad,motorcycle,2,353000,6.3,12.4,4.0
100135,2025-08-16 13:57:00,Punak,motorcycle,4,410000,6.5,13.8,3.0
100080,2025-08-16 19:18:00,Saadatabad,motorcycle,4,522000,13.8,16.6,
100060,2025-08-16 19:38:00,Saadatabad,bicycle,4,367000,9.1,22.2,2.0
100033,2025-08-16 19:41:00,Gohardasht,motorcycle,3,453000,4.8,24.1,4.0
100205,2025-08-16 20:14:00,Punak,motorcycle,9,1306000,10.3,15.3,4.0
100057,2025-08-16 20:20:00,Vakilabad,motorcycle,3,596000,4.8,18.5,
100024,2025-08-16 20:27:00,Vakilabad,bicycle,6,418000,7.5,24.0,3.0
100049,2025-08-16 20:30:00,Punak,motorcycle,4,488000,6.5,14.2,
100201,2025-08-16 20:44:00,Saadatabad,bicycle,1,217000,3.3,15.2,
100155,2025-08-16 21:12:00,Saadatabad,motorcycle,2,537000,11.0,11.3,
100085,2025-08-16 22:21:00,Saadatabad,motorcycle,6,678000,7.9,44.4,2.0
100054,2025-08-17 11:19:00,Vakilabad,motorcycle,4,518000,8.4,17.3,
100019,2025-08-17 12:29:00,Saadatabad,Motorcycle ,3,476000,6.5,15.4,4.0
100120,2025-08-17 12:30:00,Saadatabad,motorcycle,4,923000,6.2,16.4,
100077,2025-08-17 12:48:00,Gohardasht,motorcycle,4,285000,6.1,16.1,5.0
100198,2025-08-17 12:50:00,Vakilabad,motorcycle,5,344000,7.0,13.6,
100101,2025-08-17 13:12:00,Vakilabad,motorcycle,5,772000,7.3,20.6,3.0
100091,2025-08-17 13:31:00,Saadatabad,Motorcycle ,3,397000,4.8,8.6,
100087,2025-08-17 17:54:00,Gohardasht,Motorcycle ,4,443000,7.6,16.9,4.0
100078,2025-08-17 18:04:00,Saadatabad,bicycle,4,604000,5.9,18.5,4.0
100206,2025-08-17 19:00:00,Punak,motorcycle,4,379000,9.0,13.5,
100094,2025-08-17 19:15:00,Punak,motorcycle,2,471000,4.1,13.2,4.0
100052,2025-08-17 20:03:00,Saadatabad,bicycle,2,127000,3.9,23.7,
100235,2025-08-17 20:04:00,Saadatabad,Motorcycle ,2,143000,4.0,11.8,
100115,2025-08-17 20:25:00,Punak,bicycle,7,479000,9.1,20.6,4.0
100029,2025-08-17 20:56:00,Punak,motorcycle,2,344000,10.0,13.0,
100030,2025-08-17 21:12:00,Saadatabad,motorcycle,3,237000,5.9,33.3,3.0
100177,2025-08-17 21:30:00,Saadatabad,Bicycle ,7,761000,11.0,22.6,3.0
100212,2025-08-18 11:50:00,Gohardasht,Motorcycle ,4,319000,7.2,19.8,3.0
100222,2025-08-18 17:51:00,Saadatabad,motorcycle,3,214000,5.4,12.6,5.0
100171,2025-08-18 17:52:00,Gohardasht,motorcycle,4,539000,6.0,45.4,3.0
100125,2025-08-18 18:46:00,Saadatabad,bicycle,5,1250000,8.4,16.2,
100188,2025-08-18 18:53:00,Saadatabad,bicycle,5,673000,6.8,16.2,4.0
100233,2025-08-18 19:24:00,Punak,bicycle,4,884000,7.2,18.5,
100036,2025-08-18 19:50:00,Gohardasht,motorcycle,7,1209000,10.3,22.3,
100074,2025-08-18 20:10:00,Vakilabad,motorcycle,6,400000,7.4,17.8,4.0
100064,2025-08-18 20:23:00,Gohardasht,motorcycle,3,125000,5.2,23.2,4.0
100111,2025-08-18 20:42:00,Saadatabad,motorcycle,5,526000,6.6,14.4,
100056,2025-08-18 23:28:00,Punak,motorcycle,5,727000,10.0,22.7,3.0
100068,2025-08-19 13:08:00,Vakilabad,motorcycle,7,610000,9.2,14.4,
100113,2025-08-19 18:12:00,Gohardasht,bicycle,6,563000,8.5,24.3,3.0
100063,2025-08-19 18:14:00,Punak,motorcycle,4,729000,6.5,15.0,5.0
100196,2025-08-19 18:56:00,Vakilabad,motorcycle,2,245000,8.8,20.1,4.0
100189,2025-08-19 19:01:00,Saadatabad,motorcycle,8,1981000,9.4,15.2,
100164,2025-08-19 19:31:00,Punak,motorcycle,12,1086000,13.5,22.5,3.0
100095,2025-08-19 20:17:00,Saadatabad,motorcycle,5,1033000,6.7,12.1,
100038,2025-08-19 20:25:00,Vakilabad,motorcycle,2,276000,4.7,14.2,4.0
100016,2025-08-19 20:28:00,Punak,motorcycle,3,268000,5.5,15.2,4.0
100066,2025-08-19 22:11:00,Punak,bicycle,4,714000,7.4,16.6,5.0
100058,2025-08-19 22:15:00,Gohardasht,motorcycle,4,261000,7.8,24.0,
100166,2025-08-19 23:03:00,Saadatabad,motorcycle,5,344000,9.9,11.4,4.0
100028,2025-08-20 13:08:00,Vakilabad,bicycle,5,282000,10.0,15.5,3.0
100123,2025-08-20 13:53:00,Saadatabad,motorcycle,5,1001000,8.3,15.1,
100156,2025-08-20 14:23:00,Punak,motorcycle,2,224000,5.8,12.6,
100190,2025-08-20 18:19:00,Saadatabad,motorcycle,3,443000,5.8,30.6,4.0
100160,2025-08-20 18:51:00,Saadatabad,motorcycle,2,245000,4.6,13.1,5.0
100059,2025-08-20 18:52:00,Vakilabad,bicycle,3,216000,5.1,17.6,4.0
100015,2025-08-20 19:00:00,Punak,motorcycle,6,638000,8.3,15.9,4.0
100100,2025-08-20 19:09:00,Vakilabad,Bicycle ,2,253000,8.1,25.5,3.0
100122,2025-08-20 19:36:00,Vakilabad,motorcycle,1,61000,7.5,14.2,5.0
100098,2025-08-20 20:02:00,Vakilabad,motorcycle,5,796000,7.2,17.6,
100184,2025-08-20 22:27:00,Punak,bicycle,7,675000,12.0,19.7,4.0
100225,2025-08-20 22:35:00,Vakilabad,motorcycle,5,1181000,7.8,23.4,4.0
100140,2025-08-21 11:28:00,Saadatabad,motorcycle,3,371000,6.5,9.1,5.0
100005,2025-08-21 13:00:00,Punak,motorcycle,5,872000,7.2,14.0,
100023,2025-08-21 13:21:00,Vakilabad,Motorcycle ,3,232000,7.1,11.8,
100021,2025-08-21 13:40:00,Gohardasht,Motorcycle ,3,285000,9.4,14.6,
100017,2025-08-21 13:56:00,Punak,motorcycle,6,469000,11.4,20.2,4.0
100127,2025-08-21 18:22:00,Saadatabad,motorcycle,3,174000,6.7,10.6,4.0
100219,2025-08-21 18:34:00,Gohardasht,motorcycle,2,143000,5.0,19.5,4.0
100238,2025-08-21 18:46:00,Saadatabad,bicycle,2,468000,4.6,14.1,
100102,2025-08-21 19:45:00,Punak,motorcycle,3,323000,5.0,16.3,
100167,2025-08-21 19:58:00,Punak,motorcycle,3,528000,5.9,19.6,4.0
100217,2025-08-21 20:21:00,Gohardasht,motorcycle,1,98000,4.0,20.1,4.0
100142,2025-08-21 20:25:00,Saadatabad,motorcycle,6,1066000,7.6,14.9,4.0
100050,2025-08-21 20:29:00,Punak,Motorcycle ,7,954000,8.4,17.9,4.0
100013,2025-08-21 20:36:00,Saadatabad,motorcycle,2,253000,4.6,10.2,5.0
100229,2025-08-21 20:46:00,Saadatabad,motorcycle,4,1172000,5.9,33.7,2.0
100202,2025-08-21 20:47:00,Saadatabad,motorcycle,5,593000,9.5,16.9,
100193,2025-08-22 12:22:00,Vakilabad,motorcycle,2,657000,4.1,14.3,
100118,2025-08-22 12:30:00,Saadatabad,motorcycle,4,825000,6.8,17.5,4.0
100220,2025-08-22 12:34:00,Saadatabad,motorcycle,2,181000,4.7,14.0,4.0
100044,2025-08-22 13:33:00,Vakilabad,motorcycle,6,462000,7.5,16.9,5.0
100018,2025-08-22 13:35:00,Vakilabad,Motorcycle ,6,552000,9.1,15.5,4.0
100232,2025-08-22 14:07:00,Punak,motorcycle,3,271000,8.4,13.1,5.0
100065,2025-08-22 17:22:00,Punak,bicycle,4,523000,7.5,34.0,3.0
100062,2025-08-22 18:26:00,Punak,motorcycle,5,542000,8.0,15.1,3.0
100152,2025-08-22 19:53:00,Punak,bicycle,3,364000,6.7,16.5,5.0
100072,2025-08-22 21:04:00,Gohardasht,motorcycle,2,513000,5.1,18.8,4.0
100137,2025-08-22 21:16:00,Saadatabad,motorcycle,5,776000,7.5,13.1,5.0
